date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:46:24	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2263a11c18-239b%22	https://ismailbarkani.github.io/robots.txt		(from )
16:46:24	75024/75024	---M-Z	200	added ('OK')	text/html	etag:W/%226159988c-12510%22	https://ismailbarkani.github.io/E-Portfolio/	C:/Users/Aziz/Downloads/portfolioo/ismailbarkani.github.io/E-Portfolio/index.html	(from )
16:46:25	48812/48812	---M--	200	added ('OK')	image/png	etag:%226159988c-beac%22	https://ismailbarkani.github.io/E-Portfolio/images/log.png	C:/Users/Aziz/Downloads/portfolioo/ismailbarkani.github.io/E-Portfolio/images/log.png	(from https://ismailbarkani.github.io/E-Portfolio/)
16:46:25	1608/1608	---M--	200	added ('OK')	image/png	etag:%226159988c-648%22	https://ismailbarkani.github.io/E-Portfolio/images/apple-touch-icon.png	C:/Users/Aziz/Downloads/portfolioo/ismailbarkani.github.io/E-Portfolio/images/apple-touch-icon.png	(from https://ismailbarkani.github.io/E-Portfolio/)
16:46:25	28759/28759	---M-Z	200	added ('OK')	text/css	etag:W/%226159988c-7057%22	https://ismailbarkani.github.io/E-Portfolio/stylesheets/font-awesome.min.css	C:/Users/Aziz/Downloads/portfolioo/ismailbarkani.github.io/E-Portfolio/stylesheets/font-awesome.min.css	(from https://ismailbarkani.github.io/E-Portfolio/)
16:46:25	52789/52789	---M-Z	200	added ('OK')	text/css	etag:W/%226159988c-ce35%22	https://ismailbarkani.github.io/E-Portfolio/stylesheets/animate.min.css	C:/Users/Aziz/Downloads/portfolioo/ismailbarkani.github.io/E-Portfolio/stylesheets/animate.min.css	(from https://ismailbarkani.github.io/E-Portfolio/)
16:46:26	127070/127070	---M-Z	200	added ('OK')	text/css	etag:W/%226159988c-1f05e%22	https://ismailbarkani.github.io/E-Portfolio/stylesheets/materialize.css	C:/Users/Aziz/Downloads/portfolioo/ismailbarkani.github.io/E-Portfolio/stylesheets/materialize.css	(from https://ismailbarkani.github.io/E-Portfolio/)
16:46:26	121260/121260	---M-Z	200	added ('OK')	text/css	etag:W/%226159988c-1d9ac%22	https://ismailbarkani.github.io/E-Portfolio/stylesheets/bootstrap.min.css	C:/Users/Aziz/Downloads/portfolioo/ismailbarkani.github.io/E-Portfolio/stylesheets/bootstrap.min.css	(from https://ismailbarkani.github.io/E-Portfolio/)
16:46:26	51395/51395	---M-Z	200	added ('OK')	text/css	etag:W/%226159988c-c8c3%22	https://ismailbarkani.github.io/E-Portfolio/stylesheets/style_dark_dark.css	C:/Users/Aziz/Downloads/portfolioo/ismailbarkani.github.io/E-Portfolio/stylesheets/style_dark_dark.css	(from https://ismailbarkani.github.io/E-Portfolio/)
16:46:26	258336/258336	---M--	200	added ('OK')	image/png	etag:%226159988c-3f120%22	https://ismailbarkani.github.io/E-Portfolio/images/profile.png	C:/Users/Aziz/Downloads/portfolioo/ismailbarkani.github.io/E-Portfolio/images/profile.png	(from https://ismailbarkani.github.io/E-Portfolio/)
16:46:27	137745/137745	---M--	200	added ('OK')	application/pdf	etag:%226159988c-21a11%22	https://ismailbarkani.github.io/E-Portfolio/barkani_cv.pdf	C:/Users/Aziz/Downloads/portfolioo/ismailbarkani.github.io/E-Portfolio/barkani_cv.pdf	(from https://ismailbarkani.github.io/E-Portfolio/)
